i,x,y
1,1.000000,24.000000
2,1.000000,20.000000
3,1.000000,16.000000
4,2.000000,60.000000
5,2.000000,26.000000
6,2.000000,18.000000
7,3.000000,69.000000
8,3.000000,14.000000
9,3.000000,50.000000
10,4.000000,16.000000
11,4.000000,20.000000
12,4.000000,12.000000
13,5.000000,40.000000
14,5.000000,36.000000
15,5.000000,40.000000
16,5.000000,11.000000
17,6.000000,56.000000
18,6.000000,70.000000
19,6.000000,37.000000
20,6.000000,66.000000
21,6.000000,50.000000
22,6.000000,40.000000
23,6.000000,16.000000
24,6.000000,17.000000
25,6.000000,52.000000
26,8.000000,24.000000
27,8.000000,50.000000
28,8.000000,42.000000
29,8.000000,46.000000
30,8.000000,42.000000
31,8.000000,46.000000
32,10.000000,17.000000
33,12.000000,133.000000
34,12.000000,132.000000
35,12.000000,113.000000
36,14.000000,38.000000
37,16.000000,31.000000
38,16.000000,132.000000
39,16.000000,214.000000
40,16.000000,173.000000
41,20.000000,35.000000
42,20.000000,134.000000
43,24.000000,36.000000
44,24.000000,44.000000
45,24.000000,368.000000
46,24.000000,465.000000
47,24.000000,53.000000
48,24.000000,214.000000
49,24.000000,370.000000
50,32.000000,405.000000
51,32.000000,51.000000
52,32.000000,30.000000
53,32.000000,367.000000
54,32.000000,172.000000
55,38.000000,144.000000
56,54.000000,141.000000
57,64.000000,61.000000
58,64.000000,1144.000000
59,128.000000,198.000000
60,176.000000,915.000000
